,代號,名稱
1,0050,元大台灣50
2,0051,元大中型100
3,0052,富邦科技
4,0053,元大電子
5,0054,元大台商50
6,0055,元大MSCI金融
7,0056,元大高股息
8,0057,富邦摩台
9,0061,元大寶滬深
11,006203,元大MSCI台灣
12,006204,永豐臺灣加權
13,006205,富邦上証
14,006206,元大上證50
15,006207,FH滬深
16,006208,富邦台50
17,00625K,富邦上証+R
18,00631L,元大台灣50正2
19,00632R,元大台灣50反1
20,00633L,富邦上証正2
21,00634R,富邦上証反1
22,00635U,元大S&P黃金
23,00636,國泰中國A50
24,00636K,國泰中國A50+U
25,00637L,元大滬深300正2
26,00638R,元大滬深300反1
27,00639,富邦深100
28,00640L,富邦日本正2
29,00641R,富邦日本反1
30,00642U,元大S&P石油
31,00643,群益深証中小
32,00643K,群益深証中小+R
33,00645,富邦日本
34,00646,元大S&P500
35,00647L,元大S&P500正2
36,00648R,元大S&P500反1
37,00650L,FH香港正2
38,00651R,FH香港反1
39,00652,富邦印度
40,00653L,富邦印度正2
41,00654R,富邦印度反1
42,00655L,國泰中國A50正2
43,00656R,國泰中國A50反1
44,00657,國泰日經225
45,00657K,國泰日經225+U
46,00660,元大歐洲50
47,00661,元大日經225
48,00662,富邦NASDAQ
49,00663L,國泰臺灣加權正2
50,00664R,國泰臺灣加權反1
51,00665L,富邦恒生國企正2
52,00666R,富邦恒生國企反1
53,00668,國泰美國道瓊
54,00668K,國泰美國道瓊+U
55,00669R,國泰美國道瓊反1
56,00670L,富邦NASDAQ正2
57,00671R,富邦NASDAQ反1
58,00672L,元大S&P原油正2
59,00673R,元大S&P原油反1
60,00674R,元大S&P黃金反1
61,00675L,富邦臺灣加權正2
62,00676R,富邦臺灣加權反1
63,00677U,富邦VIX
64,00678,群益NBI生技
66,00680L,元大美債20正2
67,00681R,元大美債20反1
68,00682U,元大美元指數
69,00683L,元大美元指數正2
70,00684R,元大美元指數反1
71,00685L,群益臺灣加權正2
72,00686R,群益臺灣加權反1
74,00688L,國泰20年美債正2
75,00689R,國泰20年美債反1
76,00690,兆豐藍籌30
77,00691R,兆豐藍籌30反1
78,00692,富邦公司治理
79,00693U,街口S&P黃豆
84,00700,富邦恒生國企
85,00701,國泰股利精選30
86,00702,國泰標普低波高息
87,00703,台新MSCI中國
88,00706L,元大S&P日圓正2
89,00707R,元大S&P日圓反1
90,00708L,元大S&P黃金正2
91,00709,富邦歐洲
92,00710B,FH彭博高收益債
93,00711B,FH彭博新興債
94,00712,FH富時不動產
95,00713,元大台灣高息低波
96,00714,群益道瓊美國地產
97,00715L,街口布蘭特油正2
98,00717,富邦美國特別股
109,00728,第一金工業30
110,00730,富邦臺灣優質高息
111,00731,FH富時高息低波
112,00732,國泰RMB短期報酬
113,00733,富邦臺灣中小
115,00735,國泰臺韓科技
116,00736,國泰新興市場
117,00737,國泰AI+Robo
118,00738U,元大道瓊白銀
119,00739,元大MSCIA股
122,00742,新光內需收益
123,00743,國泰中國A150
132,00752,中信中國50
133,00753L,中信中國50正2
137,00757,統一FANG+
142,00762,元大全球AI
143,00763U,街口道瓊銅
146,00766L,台新MSCI中國正2
148,00770,國泰北美科技
149,00771,元大US高息特別股
152,00774B,新光中國政金綠債
153,00774C,新光中政金綠債+R
154,00775B,新光投等債15+
162,00783,富邦中証500
178,008201,BP上證50
179,00830,國泰費城半導體
198,00850,元大臺灣ESG永續
199,00851,台新全球AI
200,00852L,國泰美國道瓊正2
209,00861,元大全球未來通訊
213,00865B,國泰US短期公債
214,00866,新光ShillerCAPE
215,00875,國泰網路資安
215,00876,元大未來關鍵科技
215,00878,國泰永續高股息
249,1101,台泥
250,1101B,台泥乙特
251,1102,亞泥
252,1103,嘉泥
253,1104,環泥
254,1108,幸福
255,1109,信大
256,1110,東泥
257,1201,味全
258,1203,味王
259,1210,大成
260,1213,大飲
261,1215,卜蜂
262,1216,統一
263,1217,愛之味
264,1218,泰山
265,1219,福壽
266,1220,台榮
267,1225,福懋油
268,1227,佳格
269,1229,聯華
270,1231,聯華食
271,1232,大統益
272,1233,天仁
273,1234,黑松
274,1235,興泰
275,1236,宏亞
276,1240,茂生農經
277,1256,鮮活果汁-KY
278,1258,其祥-KY
279,1259,安心
280,1260,富味鄉
281,1264,德麥
282,1268,漢來美食
283,1269,乾杯
284,1301,台塑
285,1303,南亞
286,1304,台聚
287,1305,華夏
288,1307,三芳
289,1308,亞聚
290,1309,台達化
291,1310,台苯
292,1312,國喬
293,1312A,國喬特
294,1313,聯成
295,1314,中石化
296,1315,達新
297,1316,上曜
298,1319,東陽
299,1321,大洋
300,1323,永裕
301,1324,地球
302,1325,恆大
303,1326,台化
304,1336,台翰
305,1337,再生-KY
306,1338,廣華-KY
307,1339,昭輝
308,1340,勝悅-KY
309,1341,富林-KY
310,1342,八貫
311,1402,遠東新
312,1409,新纖
313,1410,南染
314,1413,宏洲
315,1414,東和
316,1416,廣豐
317,1417,嘉裕
318,1418,東華
319,1419,新紡
320,1423,利華
321,1432,大魯閣
322,1434,福懋
323,1435,中福
324,1436,華友聯
325,1437,勤益控
326,1438,裕豐
327,1439,中和
328,1440,南紡
329,1441,大東
330,1442,名軒
331,1443,立益
332,1444,力麗
333,1445,大宇
334,1446,宏和
335,1447,力鵬
336,1449,佳和
337,1451,年興
338,1452,宏益
339,1453,大將
340,1454,台富
341,1455,集盛
342,1456,怡華
343,1457,宜進
344,1459,聯發
345,1460,宏遠
346,1463,強盛
347,1464,得力
348,1465,偉全
349,1466,聚隆
350,1467,南緯
351,1468,昶和
352,1470,大統新創
353,1471,首利
354,1472,三洋紡
355,1473,台南
356,1474,弘裕
357,1475,本盟
358,1476,儒鴻
359,1477,聚陽
360,1503,士電
361,1504,東元
362,1506,正道
363,1507,永大
364,1512,瑞利
365,1513,中興電
366,1514,亞力
367,1515,力山
368,1516,川飛
369,1517,利奇
370,1519,華城
371,1521,大億
372,1522,堤維西
373,1524,耿鼎
374,1525,江申
375,1526,日馳
376,1527,鑽全
377,1528,恩德
378,1529,樂士
379,1530,亞崴
380,1531,高林股
381,1532,勤美
382,1533,車王電
383,1535,中宇
384,1536,和大
385,1537,廣隆
386,1538,正峰新
387,1539,巨庭
388,1540,喬福
389,1541,錩泰
390,1558,伸興
391,1560,中砂
392,1563,巧新
393,1565,精華
394,1568,倉佑
395,1569,濱川
396,1570,力肯
397,1580,新麥
398,1582,信錦
399,1583,程泰
400,1584,精剛
401,1585,鎧鉅
402,1586,和勤
403,1587,吉茂
404,1589,永冠-KY
405,1590,亞德客-KY
406,1591,駿吉-KY
407,1592,英瑞-KY
408,1593,祺驊
409,1594,日高
410,1595,川寶
411,1597,直得
412,1598,岱宇
413,1599,宏佳騰
414,1603,華電
415,1604,聲寶
416,1605,華新
417,1608,華榮
418,1609,大亞
419,1611,中電
420,1612,宏泰
421,1614,三洋電
422,1615,大山
423,1616,億泰
424,1617,榮星
425,1618,合機
426,1626,艾美特-KY
427,1701,中化
428,1702,南僑
429,1707,葡萄王
430,1708,東鹼
431,1709,和益
432,1710,東聯
433,1711,永光
434,1712,興農
435,1713,國化
436,1714,和桐
437,1717,長興
438,1718,中纖
439,1720,生達
440,1721,三晃
441,1722,台肥
442,1723,中碳
443,1724,台硝
444,1725,元禎
445,1726,永記
446,1727,中華化
447,1730,花仙子
448,1731,美吾華
449,1732,毛寶
450,1733,五鼎
451,1734,杏輝
452,1735,日勝化
453,1736,喬山
454,1737,臺鹽
455,1742,台蠟
456,1752,南光
457,1760,寶齡富錦
458,1762,中化生
459,1773,勝一
460,1776,展宇
461,1777,生泰
462,1780,立弘
463,1781,合世
464,1783,和康生
465,1784,訊聯
466,1785,光洋科
467,1786,科妍
468,1788,杏昌
469,1789,神隆
470,1795,美時
471,1796,金穎生技
472,1799,易威
473,1802,台玻
474,1805,寶徠
475,1806,冠軍
476,1808,潤隆
477,1809,中釉
478,1810,和成
479,1813,寶利徠
480,1815,富喬
481,1817,凱撒衛
482,1903,士紙
483,1904,正隆
484,1905,華紙
485,1906,寶隆
486,1907,永豐餘
487,1909,榮成
488,2002,中鋼
489,2002A,中鋼特
490,2006,東和鋼鐵
491,2007,燁興
492,2008,高興昌
493,2009,第一銅
494,2010,春源
495,2012,春雨
496,2013,中鋼構
497,2014,中鴻
498,2015,豐興
499,2017,官田鋼
500,2020,美亞
501,2022,聚亨
502,2023,燁輝
503,2024,志聯
504,2025,千興
505,2027,大成鋼
506,2028,威致
507,2029,盛餘
508,2030,彰源
509,2031,新光鋼
510,2032,新鋼
511,2033,佳大
512,2034,允強
513,2035,唐榮
514,2038,海光
515,2049,上銀
516,2059,川湖
517,2061,風青
518,2062,橋椿
519,2063,世鎧
520,2064,晉椿
521,2065,世豐
522,2066,世德
523,2067,嘉鋼
524,2069,運錩
525,2070,精湛
526,2071,震南鐵
527,2101,南港
528,2102,泰豐
529,2103,台橡
530,2104,國際中橡
531,2105,正新
532,2106,建大
533,2107,厚生
534,2108,南帝
535,2109,華豐
536,2114,鑫永銓
537,2115,六暉-KY
538,2201,裕隆
539,2204,中華
540,2206,三陽工業
541,2207,和泰車
542,2208,台船
543,2211,長榮鋼
544,2221,大甲
545,2227,裕日車
546,2228,劍麟
547,2230,泰茂
548,2231,為升
549,2233,宇隆
550,2235,謚源
551,2236,百達-KY
552,2237,華德動能
553,2239,英利-KY
554,2241,艾姆勒
555,2243,宏旭-KY
556,2245,詠勝昌
557,2246,凱勝綠能
558,2247,汎德永業
559,2248,華勝-KY
560,2249,湧盛
561,2301,光寶科
562,2302,麗正
563,2303,聯電
564,2305,全友
565,2308,台達電
566,2312,金寶
567,2313,華通
568,2314,台揚
569,2316,楠梓電
570,2317,鴻海
571,2321,東訊
572,2323,中環
573,2324,仁寶
574,2327,國巨
575,2328,廣宇
576,2329,華泰
577,2330,台積電
578,2331,精英
579,2332,友訊
580,2337,旺宏
581,2338,光罩
582,2340,光磊
583,2342,茂矽
584,2344,華邦電
585,2345,智邦
586,2347,聯強
587,2348,海悅
588,2349,錸德
589,2351,順德
590,2352,佳世達
591,2353,宏碁
592,2354,鴻準
593,2355,敬鵬
594,2356,英業達
595,2357,華碩
596,2358,廷鑫
597,2359,所羅門
598,2360,致茂
599,2362,藍天
600,2363,矽統
601,2364,倫飛
602,2365,昆盈
603,2367,燿華
604,2368,金像電
605,2369,菱生
606,2371,大同
607,2373,震旦行
608,2374,佳能
609,2375,凱美
610,2376,技嘉
611,2377,微星
612,2379,瑞昱
613,2380,虹光
614,2382,廣達
615,2383,台光電
616,2385,群光
617,2387,精元
618,2388,威盛
619,2390,云辰
620,2392,正崴
621,2393,億光
622,2395,研華
623,2397,友通
624,2399,映泰
625,2401,凌陽
626,2402,毅嘉
627,2404,漢唐
628,2405,浩鑫
629,2406,國碩
630,2408,南亞科
631,2409,友達
632,2412,中華電
633,2413,環科
634,2414,精技
635,2415,錩新
636,2417,圓剛
637,2419,仲琦
638,2420,新巨
639,2421,建準
640,2423,固緯
641,2424,隴華
642,2425,承啟
643,2426,鼎元
644,2427,三商電
645,2428,興勤
646,2429,銘旺科
647,2430,燦坤
648,2431,聯昌
649,2433,互盛電
650,2434,統懋
651,2436,偉詮電
652,2438,翔耀
653,2439,美律
654,2440,太空梭
655,2441,超豐
656,2442,新美齊
657,2443,億麗
658,2444,兆勁
659,2448,晶電
660,2449,京元電子
661,2450,神腦
662,2451,創見
663,2453,凌群
664,2454,聯發科
665,2455,全新
666,2456,奇力新
667,2457,飛宏
668,2458,義隆
669,2459,敦吉
670,2460,建通
671,2461,光群雷
672,2462,良得電
673,2464,盟立
674,2465,麗臺
675,2466,冠西電
676,2467,志聖
677,2468,華經
678,2471,資通
679,2472,立隆電
680,2474,可成
681,2476,鉅祥
682,2477,美隆電
683,2478,大毅
684,2480,敦陽科
685,2481,強茂
686,2482,連宇
687,2483,百容
688,2484,希華
689,2485,兆赫
690,2486,一詮
691,2488,漢平
692,2489,瑞軒
693,2491,吉祥全
694,2492,華新科
695,2493,揚博
696,2495,普安
697,2496,卓越
698,2497,怡利電
699,2498,宏達電
700,2501,國建
701,2504,國產
702,2505,國揚
703,2506,太設
704,2509,全坤建
705,2511,太子
706,2514,龍邦
707,2515,中工
708,2516,新建
709,2520,冠德
710,2524,京城
711,2527,宏璟
712,2528,皇普
713,2530,華建
714,2534,宏盛
715,2535,達欣工
716,2536,宏普
717,2537,聯上發
718,2538,基泰
719,2539,櫻花建
720,2540,愛山林
721,2542,興富發
722,2543,皇昌
723,2545,皇翔
724,2546,根基
725,2547,日勝生
726,2548,華固
727,2596,綠意
728,2597,潤弘
729,2599,樂揚
730,2601,益航
731,2603,長榮
732,2605,新興
733,2606,裕民
734,2607,榮運
735,2608,嘉里大榮
736,2609,陽明
737,2610,華航
738,2611,志信
739,2612,中航
740,2613,中櫃
741,2614,東森
742,2615,萬海
743,2616,山隆
744,2617,台航
745,2618,長榮航
746,2630,亞航
747,2633,台灣高鐵
748,2634,漢翔
749,2636,台驊投控
750,2637,慧洋-KY
751,2640,大車隊
752,2641,正德
753,2642,宅配通
754,2643,捷迅
755,2701,萬企
756,2702,華園
757,2704,國賓
758,2705,六福
759,2706,第一店
760,2707,晶華
761,2712,遠雄來
762,2718,晶悅
763,2719,燦星旅
764,2721,楷捷-KY
765,2722,夏都
766,2723,美食-KY
767,2724,富驛-KY
768,2726,雅茗-KY
769,2727,王品
770,2729,瓦城
771,2730,美麗信
772,2731,雄獅
773,2732,六角
774,2733,維格
775,2734,易飛網
776,2736,高野
777,2739,寒舍
778,2740,天蔥
779,2741,老四川
780,2743,山富
781,2745,五福
782,2748,雲品
783,2750,桃禧
784,2752,豆府
785,2754,亞洲藏壽司
786,2755,揚秦
787,2801,彰銀
788,2809,京城銀
789,2812,台中銀
790,2816,旺旺保
791,2820,華票
792,2823,中壽
793,2832,台產
794,2834,臺企銀
795,2836,高雄銀
796,2838,聯邦銀
797,2838A,聯邦銀甲特
798,2841,台開
799,2845,遠東銀
800,2849,安泰銀
801,2850,新產
802,2851,中再保
803,2852,第一保
804,2855,統一證
805,2867,三商壽
806,2880,華南金
807,2881,富邦金
808,2881A,富邦特
809,2881B,富邦金乙特
810,2882,國泰金
811,2882A,國泰特
812,2882B,國泰金乙特
813,2883,開發金
814,2884,玉山金
815,2885,元大金
816,2886,兆豐金
817,2887,台新金
818,2887E,台新戊特
819,2887F,台新戊特二
820,2888,新光金
821,2888A,新光金甲特
822,2889,國票金
823,2890,永豐金
824,2891,中信金
825,2891B,中信金乙特
826,2891C,中信金丙特
827,2892,第一金
828,2897,王道銀行
829,2897A,王道銀甲特
830,2901,欣欣
831,2903,遠百
832,2904,匯僑
833,2905,三商
834,2906,高林
835,2908,特力
836,2910,統領
837,2911,麗嬰房
838,2912,統一超
839,2913,農林
840,2915,潤泰全
841,2916,滿心
842,2923,鼎固-KY
843,2924,東凌-KY
844,2926,誠品生活
845,2928,紅馬-KY
846,2929,淘帝-KY
847,2936,客思達-KY
848,2937,集雅社
849,2938,床的世界
850,2939,凱羿-KY
851,2942,京站
852,2945,三商家購
853,3002,歐格
854,3003,健和興
855,3004,豐達科
856,3005,神基
857,3006,晶豪科
858,3008,大立光
859,3010,華立
860,3011,今皓
861,3013,晟銘電
862,3014,聯陽
863,3015,全漢
864,3016,嘉晶
865,3017,奇鋐
866,3018,同開
867,3019,亞光
868,3021,鴻名
869,3022,威強電
870,3023,信邦
871,3024,憶聲
872,3025,星通
873,3026,禾伸堂
874,3027,盛達
875,3028,增你強
876,3029,零壹
877,3030,德律
878,3031,佰鴻
879,3032,偉訓
880,3033,威健
881,3034,聯詠
882,3035,智原
883,3036,文曄
884,3037,欣興
885,3038,全台
886,3040,遠見
887,3041,揚智
888,3042,晶技
889,3043,科風
890,3044,健鼎
891,3045,台灣大
892,3046,建碁
893,3047,訊舟
894,3048,益登
895,3049,和鑫
896,3050,鈺德
897,3051,力特
898,3052,夆典
899,3054,立萬利
900,3055,蔚華科
901,3056,總太
902,3057,喬鼎
903,3058,立德
904,3059,華晶科
905,3060,銘異
906,3062,建漢
907,3064,泰偉
908,3066,李洲
909,3067,全域
910,3071,協禧
911,3073,凱柏實業
912,3078,僑威
913,3081,聯亞
914,3083,網龍
915,3086,華義
916,3088,艾訊
917,3089,元炬
918,3090,日電貿
919,3092,鴻碩
920,3093,港建
921,3094,聯傑
922,3095,及成
923,3097,拍檔
924,3105,穩懋
925,3114,好德
926,3115,寶島極
927,3117,年程
928,3118,進階
929,3122,笙泉
930,3128,昇銳
931,3130,一零四
932,3131,弘塑
933,3138,耀登
934,3141,晶宏
935,3144,新揚科
936,3147,大綜
937,3149,正達
938,3150,鈺寶
939,3152,璟德
940,3158,嘉實
941,3162,精確
942,3163,波若威
943,3164,景岳
944,3167,大量
945,3168,眾福科
946,3169,亞信
947,3171,新洲
948,3176,基亞
949,3178,公準
950,3184,微邦
951,3188,鑫龍騰
952,3189,景碩
953,3191,和進
954,3202,樺晟
955,3205,佰研
956,3206,志豐
957,3207,耀勝
958,3209,全科
959,3211,順達
960,3213,茂訊
961,3217,優群
962,3218,大學光
963,3221,台嘉碩
964,3224,三顧
965,3226,至寶電
966,3227,原相
967,3228,金麗科
968,3229,晟鈦
969,3230,錦明
970,3231,緯創
971,3232,昱捷
972,3234,光環
973,3236,千如
974,3252,海灣
975,3257,虹冠電
976,3259,鑫創
977,3260,威剛
978,3264,欣銓
979,3265,台星科
980,3266,昇陽
981,3268,海德威
982,3272,東碩
983,3276,宇環
984,3284,太普高
985,3285,微端
986,3287,廣寰科
987,3288,點晶
988,3289,宜特
989,3290,東浦
990,3293,鈊象
991,3294,英濟
992,3296,勝德
993,3297,杭特
994,3303,岱稜
995,3305,昇貿
996,3306,鼎天
997,3308,聯德
998,3310,佳穎
999,3311,閎暉
1000,3312,弘憶股
1001,3313,斐成
1002,3317,尼克森
1003,3321,同泰
1004,3322,建舜電
1005,3323,加百裕
1006,3324,雙鴻
1007,3325,旭品
1008,3332,幸康
1009,3338,泰碩
1010,3339,泰谷
1011,3346,麗清
1012,3349,寶德
1013,3354,律勝
1014,3356,奇偶
1015,3357,臺慶科
1016,3360,尚立
1017,3362,先進光
1018,3363,上詮
1019,3372,典範
1020,3373,熱映
1021,3374,精材
1022,3376,新日興
1023,3377,健格
1024,3379,彬台
1025,3380,明泰
1026,3383,新世紀
1027,3388,崇越電
1028,3390,旭軟
1029,3391,佳得
1030,3402,漢科
1031,3406,玉晶光
1032,3413,京鼎
1033,3416,融程電
1034,3419,譁裕
1035,3426,台興
1036,3429,彥陽
1037,3430,奇鈦科
1038,3432,台端
1039,3434,哲固
1040,3437,榮創
1041,3438,類比科
1042,3441,聯一光
1043,3443,創意
1044,3444,利機
1045,3450,聯鈞
1046,3454,晶睿
1047,3455,由田
1048,3465,進泰電子
1049,3466,致振
1050,3479,安勤
1051,3481,群創
1052,3483,力致
1053,3484,崧騰
1054,3485,敘豐
1055,3489,森寶
1056,3490,單井
1057,3491,昇達科
1058,3492,長盛
1059,3494,誠研
1060,3498,陽程
1061,3499,環天科
1062,3501,維熹
1063,3504,揚明光
1064,3508,位速
1065,3511,矽瑪
1066,3512,皇龍
1067,3515,華擎
1068,3516,亞帝歐
1069,3518,柏騰
1070,3520,振維
1071,3521,鴻翊
1072,3522,御頂
1073,3523,迎輝
1074,3526,凡甲
1075,3527,聚積
1076,3528,安馳
1077,3529,力旺
1078,3530,晶相光
1079,3531,先益
1080,3532,台勝科
1081,3533,嘉澤
1082,3535,晶彩科
1083,3536,誠創
1084,3537,堡達
1085,3540,曜越
1086,3541,西柏
1087,3543,州巧
1088,3545,敦泰
1089,3546,宇峻
1090,3548,兆利
1091,3550,聯穎
1092,3551,世禾
1093,3552,同致
1094,3555,重鵬
1095,3556,禾瑞亞
1096,3557,嘉威
1097,3558,神準
1098,3563,牧德
1099,3564,其陽
1100,3567,逸昌
1101,3570,大塚
